CUSEC;NMUN;V_VENTA;N_VENTA;FECHA
2807403005;Leganés;24;1;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403006;Leganés;15;1;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403007;Leganés;17;2;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403008;Leganés;null;null;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403009;Leganés;1 huésped · 1 dormitorio · 1 cama · 1 baño;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403010;Leganés;2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403012;Leganés;2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403013;Leganés;14;1;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403014;Leganés;25;3;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403015;Leganés;2 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403016;Leganés;null;null;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403017;Leganés;2 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403018;Leganés;50;1;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403019;Leganés;14;1;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403020;Leganés;1 huésped · 1 dormitorio · 1 cama · 2 baños privados;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807403021;Leganés;18;3;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404001;Leganés;null;null;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404002;Leganés;null;null;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404003;Leganés;1 huésped · 1 dormitorio · 1 cama · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404004;Leganés;19;1;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404005;Leganés;null;null;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404006;Leganés;1 huésped · 1 dormitorio · 1 cama · 1 baño privado;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404007;Leganés;1 huésped · 1 dormitorio · 1 cama · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404008;Leganés;1 huésped · 1 dormitorio · 1 cama · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
2807404009;Leganés;1 huésped · 1 dormitorio · 1 cama · 1 baño compartido;Más  cercanos;Mon Nov 26 2018 06:37:40 GMT+0100 (Hora estándar romance)
